id,data_prevista,turno,demanda_estimada,unidade,regional,executado_em,confianca
c6191a5b-40e7-4463-a37e-1147c371175e,2026-04-21,madrugada,40,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
db4fbc17-70b0-4257-9b6e-a8c48998099a,2026-04-22,madrugada,32,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
230863f4-f0a3-4783-bf51-cd10b85afc8b,2026-04-23,madrugada,40,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
6d973674-e856-4ea6-b7cd-b0dd10a56fc8,2026-04-24,madrugada,35,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
f7d1b97c-996f-432a-9bd1-63ff9e17cb0c,2026-04-25,madrugada,38,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
6df0a7b6-67d0-4296-8deb-af73a7ece6ff,2026-04-26,madrugada,36,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
a8c2b2d6-70cd-41ac-a48a-7f88ef838162,2026-04-27,madrugada,39,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
ba74fdf2-0738-4edc-83ff-74f0642168c3,2026-04-28,madrugada,38,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
7c182ce7-0391-4029-877b-7966492287e1,2026-04-29,madrugada,32,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
f321ae3a-f2a1-497e-ad6a-da554c007ea6,2026-04-30,madrugada,40,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
71cb7839-599c-437f-b512-a2f95cc38565,2026-05-01,madrugada,37,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
6312c5cd-a1dd-443f-a847-abd082c5c19a,2026-05-02,madrugada,38,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
6eb1f05b-d829-4f7a-9a97-8c880eadac1a,2026-05-03,madrugada,36,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
e45ce31a-fa6b-498e-9355-9fd1c8f4396f,2026-05-04,madrugada,39,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
6716112b-e0cf-4393-ac57-b1859f21a26c,2026-05-05,madrugada,38,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
444bcb70-2c44-408e-b706-428c9e58e57a,2026-05-06,madrugada,32,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
e7e90638-8d8f-4e40-8b1c-3d9f70574258,2026-04-07,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
7296388a-37ed-4120-9a06-8d888fb3a192,2026-04-08,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
bc93e2f6-8fe8-4b9e-8059-708713a826d1,2026-04-09,madrugada,44,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
ddf62d5b-5d52-4397-9383-780e7adba698,2026-04-10,madrugada,40,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,media
26bb5531-30c6-4050-ad47-69debbc700ec,2026-04-11,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
8d5ddb4e-8efc-42c3-8f04-dc1e3d2fc1e6,2026-04-12,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
f5790837-1b92-45a1-8260-679107879d70,2026-04-13,madrugada,47,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
e8d4edf5-1d53-4268-959c-acda61d7b426,2026-04-14,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
63efd3a3-0e81-4384-89b1-9a4dfb3e503e,2026-04-15,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
61b67fc1-4a2e-495b-aff6-525a763454dc,2026-04-16,madrugada,44,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
c065a978-374c-4da8-929a-48ca7bf57595,2026-04-17,madrugada,40,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,media
87444934-fd65-455a-b28e-3b2936db8a40,2026-04-18,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
03816eb9-5d78-4e27-8ac1-13f9b9ec124a,2026-04-19,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
8261cf9e-b35e-4ced-88b7-d7daae9b6291,2026-04-20,madrugada,47,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
99ccb74f-ffc5-44b3-a248-579431d52eaf,2026-04-21,madrugada,44,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
5827fe92-e0e0-458a-8516-a1237c5acb31,2026-04-22,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
b85e61c6-f70b-42fa-94b6-b842aa6f4a0d,2026-04-23,madrugada,44,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
6fdc4ce2-699d-4bd4-9465-1b0a4a1f84ce,2026-04-24,madrugada,40,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,media
3807ea22-4a19-49b7-8294-d10cb62c82c7,2026-04-25,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
250cb239-2dbb-404b-94f7-a43fa0499b4c,2026-04-26,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
63c447f9-803b-4c7d-a5cd-08d7381ca1e9,2026-04-27,madrugada,47,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
8eb7bce5-9575-439d-a662-1794f4ce7b5f,2026-04-28,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
8a272997-86c0-4094-b99c-58f70ba6eb11,2026-04-29,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
a9c6ab49-03d9-4bef-9ee7-4e17067d9c6a,2026-04-30,madrugada,44,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
3efe30ac-c2b7-4351-9232-81b8f5a8577c,2026-05-01,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,media
1384d29f-1cc0-417f-933c-7288f69f40b2,2026-05-02,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
ba55e9dc-8809-446c-87e1-edb85d9e65f3,2026-05-03,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
308dfdcb-c346-4dbe-b35a-f97da21e1e06,2026-05-04,madrugada,47,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
00d32890-6776-4a1e-aeac-d3fe52cf3d30,2026-05-05,madrugada,42,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
be6e8736-7444-4e97-862f-12e9e2540c39,2026-05-06,madrugada,37,ENFERMARIA Vitória - ES,es,2026-04-06T18:22:46.466+00:00,alta
816cc29d-bd45-4af2-a66e-aa15dbd34082,2026-04-07,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
c184ba27-b2e5-4901-b9d1-dee70fab7a43,2026-04-08,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
1985b0a3-947d-4a5f-8160-a437b59508e1,2026-04-09,madrugada,46,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
5c3c66ea-622d-4e33-b26f-370233f1037c,2026-04-10,madrugada,50,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
6956a80d-b363-4fbd-8b49-0405c6bd6ed1,2026-04-11,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
b7a4b1fc-64c4-4fde-a2d3-900fe2394312,2026-04-12,madrugada,51,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
8537d20d-d254-478a-878f-3108fc1672a1,2026-04-13,madrugada,55,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
92e2f3ea-a8e3-4635-a403-59f91a730201,2026-04-14,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
d0aa6e58-016c-4772-8131-348b30e94be2,2026-04-15,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
83252ccd-2fe8-446d-a643-810ee2af5853,2026-04-16,madrugada,46,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
a2098af7-5daf-491c-b869-db4aece3b50b,2026-04-17,madrugada,50,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
b66d5993-e5cf-4b6b-936c-57fa4bb7bb17,2026-04-18,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
9f72d2dc-2aa0-431e-8fe7-e00f7d24525f,2026-04-19,madrugada,51,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
4604e600-4edd-4b08-aa31-eaa83cdf272b,2026-04-20,madrugada,55,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
c33dd1a1-fb47-4c9b-a883-9dd57fa40aec,2026-04-21,madrugada,55,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
d813d4b5-6873-4dcb-83ef-e73d554368e3,2026-04-22,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
dc0bc807-1e8d-413c-a063-36a02512c29b,2026-04-23,madrugada,46,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
ea45d47b-af40-4e47-9cf5-a547fe660483,2026-04-24,madrugada,50,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
847c5590-7f96-40ce-9ad2-5ce33b649cfc,2026-04-25,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
20963e89-4e99-4cdc-9002-c9442454ff89,2026-04-26,madrugada,51,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
2c8e0bdd-4fc1-4a3d-bb9c-4792c481cbcc,2026-04-27,madrugada,55,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
b67c53c3-afa0-4977-89bc-6814f17dbb2e,2026-04-28,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
a620b205-fa00-4894-9777-f240b497d2ee,2026-04-29,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
ed1188d5-35e4-4412-8a9e-d3eb0dec49b3,2026-04-30,madrugada,46,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
4c74bb56-04b7-441b-9641-cda1a83bee0f,2026-05-01,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
3cddf499-b946-4d9b-8397-927be764c0d2,2026-05-02,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
c9fd1cde-653a-466d-b435-df0ab63888a3,2026-05-03,madrugada,51,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
bf69c4db-34be-4cc3-9f41-ade6963f99a8,2026-05-04,madrugada,55,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
06996bf8-1b69-4784-b2e0-9514c5e00844,2026-05-05,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
f43cd299-2443-4909-bce8-4947da769e5a,2026-05-06,madrugada,52,PS Barra da Tijuca - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
26233a79-9873-4257-ac8e-c287fdf4affe,2026-04-07,madrugada,53,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
fc8d93fb-4591-468b-983c-a16a4ef5e3b2,2026-04-08,madrugada,69,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
740d97bc-e4b1-4f9b-b926-0727bbc8b235,2026-04-09,madrugada,48,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
6d7f1164-e8c5-40ab-9c85-f877e9f15b5f,2026-04-10,madrugada,48,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
32e896db-6bd1-4060-bad7-1317dd96819b,2026-04-11,madrugada,52,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
9c27db71-c4da-4d7c-9d36-135f4aa6a46f,2026-04-12,madrugada,52,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
020bb40e-0f6d-4061-afea-c0a881ebbd00,2026-04-13,madrugada,59,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
179e5346-0029-4b93-9626-f3ee8ae54833,2026-04-14,madrugada,53,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
d1731fd8-56be-445c-b562-9a6e4acbc668,2026-04-15,madrugada,69,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
0152bcf5-6ade-49c3-9462-d5aeb24fc4e8,2026-04-16,madrugada,48,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
cb6e9cf2-721a-4132-bd18-401a0f6d42b9,2026-04-17,madrugada,48,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
f5984a0e-0a54-4d53-8b98-25e8d92c51fb,2026-04-18,madrugada,52,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
1eaf2942-60c4-42c5-99c2-a27fe8996363,2026-04-19,madrugada,52,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
61da2ceb-aa39-4fbf-9cbd-39ba3a29bf81,2026-04-20,madrugada,59,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
12ce3bf0-c358-4435-9dea-64f7c5db602b,2026-04-21,madrugada,56,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
fbd879da-1292-4b60-9b74-a2b804274812,2026-04-22,madrugada,69,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
49bc9986-bda4-4c80-a5d1-759372cfe95d,2026-04-23,madrugada,48,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
2827e1c9-4bb3-44ce-987d-41d5fac5c956,2026-04-24,madrugada,48,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
36c9112d-9fec-4bf7-91ad-ffff6b6f9121,2026-04-25,madrugada,52,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
b42b876f-84af-45dc-93d2-59ee931d5a5f,2026-04-26,madrugada,52,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
117e8a59-c38c-401f-b0d0-701fe5944680,2026-04-27,madrugada,59,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
29eab9c2-62bb-47fe-9f23-b64a742d1dfb,2026-04-28,madrugada,53,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
db2614c8-f69d-46e1-8a10-369585f0f280,2026-04-29,madrugada,69,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
6e6fc39b-422e-478d-8077-ddf9bad044e1,2026-04-30,madrugada,48,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
64d0b5b1-f2f4-445e-a7e4-327b699e8d80,2026-05-01,madrugada,51,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
f0210f22-01d6-4251-b932-f253544e5ce3,2026-05-02,madrugada,52,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
cadfb1be-2c20-4c6f-a0f0-2386849fe736,2026-05-03,madrugada,52,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
6b17ecde-6ad6-4012-b768-ed3a4d134093,2026-05-04,madrugada,59,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
d0c25065-87e8-4961-a96d-54cc2d756ec9,2026-05-05,madrugada,53,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
66e424d1-a4b7-413c-bc9a-d56bed9ea424,2026-05-06,madrugada,69,PS Botafogo - RS,rj,2026-04-06T18:22:46.466+00:00,alta
524fa5aa-65b5-46c4-9b4e-5c77ae48ca54,2026-04-07,madrugada,47,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
57d375ca-38b4-486a-85a8-2b90eb1a2664,2026-04-08,madrugada,43,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
df70ba61-5c3d-4940-960a-ba7fb26bcb23,2026-04-09,madrugada,48,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
cf90e653-7a9c-41a9-91b8-585afd614bbb,2026-04-10,madrugada,45,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
34e079a7-f5b9-4967-bd08-f3e30a6d5e0c,2026-04-11,madrugada,48,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
f0f5d006-aaf1-4d89-ba65-881856931993,2026-04-12,madrugada,46,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
5d1199b4-2257-4c2b-a5b6-8b503717233e,2026-04-13,madrugada,54,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
9a7fc8aa-07d5-4705-bf31-fb7c71b67bd0,2026-04-14,madrugada,47,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
c18e44f5-dacf-4f24-b0e8-d37f35e2cc7a,2026-04-15,madrugada,43,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
531e67c8-6f8c-48a0-95e5-b2ef290c9826,2026-04-16,madrugada,48,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
3945a123-bebb-4822-932b-754ed4d611fd,2026-04-17,madrugada,45,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
f24fbab2-a467-4525-87f8-43dd4d89abea,2026-04-18,madrugada,48,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
9725060b-d65c-43c9-8825-fdae0709b65a,2026-04-19,madrugada,46,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
01e3e2bd-c8f4-4668-9e8b-e5bc00ea0cf0,2026-04-20,madrugada,54,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
35e181a8-9386-4ae5-ae74-b761f4148af8,2026-04-21,madrugada,49,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
a9521602-39d0-4458-85e6-5adc520192b0,2026-04-22,madrugada,43,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
0e335c51-5b31-4036-b219-2c17c2fe5c70,2026-04-23,madrugada,48,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
6b559ea7-d18f-441d-bb08-1aedc99b3de9,2026-04-24,madrugada,45,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
16827485-bdcc-45c5-9e77-55ce9241e93b,2026-04-25,madrugada,48,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
ea16c68e-8ede-4ade-b272-0b0a69462d75,2026-04-26,madrugada,46,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
06aeefdd-09c3-497e-abee-f461c4f1a93a,2026-04-27,madrugada,54,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
d6577de7-4363-442d-b191-0b376b359f5f,2026-04-28,madrugada,47,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
fc850375-9b57-4849-8c1e-642b3f3b0820,2026-04-29,madrugada,43,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
dec3fe3a-f06c-4fcf-a650-0cfd094ff81a,2026-04-30,madrugada,48,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
8af95a9f-6af8-4294-933e-0e00acccf5fe,2026-05-01,madrugada,47,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
9667bd7f-e5a1-4cce-90a5-46cc49f64dea,2026-05-02,madrugada,48,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
2cfcb5a8-7dc9-4731-a84e-34a1f1e49ea1,2026-05-03,madrugada,46,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
1a6ba973-3f84-4063-9975-ed4cef0771f5,2026-05-04,madrugada,54,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
5d2009f2-bb97-45a1-9320-763f42d2ea5d,2026-05-05,madrugada,47,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
1e49f519-9cfa-4e91-80ba-257a9ceb3066,2026-05-06,madrugada,43,PS Campo grande - RJ,rj,2026-04-06T18:22:46.466+00:00,alta
763ac65e-4c18-44e5-9930-9e1f5a2ae2a3,2026-04-07,madrugada,38,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
db6a848f-b8bf-440a-9097-24618de1eb68,2026-04-08,madrugada,35,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
8c29ac32-2d61-417f-bf92-ebc9973f15ec,2026-04-09,madrugada,36,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
3ff62e72-7e10-4f6c-810f-98fedada74af,2026-04-10,madrugada,42,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
8b4203d5-3a26-46d1-8974-79f668a7e88f,2026-04-11,madrugada,39,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,baixa
295f3d2c-620e-4eb8-a1cd-f3dbcb0c9e6b,2026-04-12,madrugada,34,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,media
8dc348aa-360a-4690-af28-c246f313741a,2026-04-13,madrugada,47,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
8e48cfa7-4d80-427f-bc14-985d8cd83973,2026-04-14,madrugada,38,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
63ff80df-0062-46f9-b05c-a84262d28f49,2026-04-15,madrugada,35,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
5985c6d1-41bc-4c42-8737-eaeb645b12eb,2026-04-16,madrugada,36,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
5a20f044-28dc-457e-894f-113fab8e31e1,2026-04-17,madrugada,42,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
3e98e6c6-b1f8-4d10-8bb4-8c35bd5480fa,2026-04-18,madrugada,39,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,baixa
00f305ed-ed6a-4592-9dd7-a1b3c0165770,2026-04-19,madrugada,34,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,media
c7c8e7ee-f76c-4294-91ec-e0d37e7001d8,2026-04-20,madrugada,47,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
0b088025-007c-4a14-ab28-3690672ce902,2026-04-21,madrugada,40,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
8e9fe467-93e1-402d-aa31-36f40d0657da,2026-04-22,madrugada,35,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
979304fe-957a-43cb-ba49-9ed1cbf008bf,2026-04-23,madrugada,36,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
94fb1dbf-491a-40e5-ac2f-37e48d1bea2a,2026-04-24,madrugada,42,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
fdaf689b-85d4-4b32-be6b-5899936a4a74,2026-04-25,madrugada,39,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,baixa
83b9d8d2-e440-4cb2-8ea7-610c59cbd9ea,2026-04-26,madrugada,34,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,media
e0e387c9-896d-4281-848a-cea816756838,2026-04-27,madrugada,47,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
6e002e9c-066e-441e-89fb-f900d7cf9eda,2026-04-28,madrugada,38,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
0d634059-7e2a-47c9-a5a4-af1d992045d2,2026-04-29,madrugada,35,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
ee87828e-1e3c-4721-8448-5cba707de800,2026-04-30,madrugada,36,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
8c4138ef-c43c-4267-b387-adeea7b27a7c,2026-05-01,madrugada,44,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,alta
a8f88674-2bf8-4bd5-b22c-3dc87b910832,2026-05-02,madrugada,39,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,baixa
8e08c8b6-5666-417b-9793-e3fc134c56e9,2026-05-03,madrugada,34,PS Pampulha - MG,mg,2026-04-06T18:22:46.466+00:00,media
